"state","puma12","puma2k","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","puma12","puma2k","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","puma12 to puma2k alloc factor","puma2k to puma12 alloc factor"
"06","03707","06101",-118.390945,34.292854,1178,0.007803,0.006408 
"06","03708","06101",-118.364453,34.284267,4,0.000029,0.000022 
"06","03709","06101",-117.96508,34.189253,4,0.000036,0.000022 
"06","03711","06101",-117.78352,34.160079,11,0.000067,0.00006 
"06","07104","06101",-117.654601,34.328419,43,0.00039,0.000234 
"06","03709","06102",-118.145084,34.19398,104373,0.947106,0.724249 
"06","03710","06102",-117.998628,34.128857,22843,0.131254,0.158509 
"06","03717","06102",-118.009699,34.142339,16158,0.085448,0.112121 
"06","03718","06102",-118.104364,34.168479,738,0.005461,0.005121 
"06","03718","06103",-118.127997,34.118618,5,0.000037,0.000046 
"06","03736","06103",-118.13987,34.091385,108705,0.947427,0.999669 
"06","03737","06103",-118.15087,34.061725,31,0.000241,0.000285 
"06","03717","06104",-118.067291,34.114427,171740,0.908206,0.959688 
"06","03718","06104",-118.102347,34.13941,2036,0.015067,0.011377 
"06","03737","06104",-118.09909,34.074364,5162,0.040187,0.028845 
"06","03738","06104",-117.997157,34.091119,16,0.000122,0.000089 
"06","03710","06105",-117.941451,34.110105,151189,0.868717,0.936874 
"06","03713","06105",-117.936469,34.091692,81,0.000739,0.000502 
"06","03715","06105",-117.951405,34.084196,5205,0.043335,0.032254 
"06","03716","06105",-117.982124,34.065384,4901,0.044413,0.03037 
"06","03711","06106",-117.800543,34.114914,162572,0.991649,0.998734 
"06","03712","06106",-117.738543,34.10497,206,0.001402,0.001266 
"06","03711","06107",-117.843288,34.078224,6,0.000037,0.000051 
"06","03713","06107",-117.879951,34.070437,95302,0.86902,0.813691 
"06","03715","06107",-117.907492,34.021161,21815,0.181624,0.186257 
"06","03714","06108",-117.857821,33.990857,108590,0.99507,0.999319 
"06","03739","06108",-117.932183,33.98451,74,0.000444,0.000681 
"06","03715","06109",-117.925211,34.049002,4156,0.034601,0.033192 
"06","03716","06109",-117.962852,34.039588,101895,0.923371,0.813786 
"06","03738","06109",-118.047707,34.05141,19160,0.145813,0.153022 
"06","03739","06110",-118.013075,33.979552,166409,0.999555,0.981659 
"06","03754","06110",-118.068648,33.967423,3109,0.02286,0.01834 
"06","03740","06111",-118.100769,34.001391,128101,0.995903,0.99957 
"06","03743","06111",-118.128706,34.013787,55,0.000444,0.000429 
"06","03737","06112",-118.107745,34.059983,122756,0.955686,1 
