afactor,puma2000,czone
1,264000,11600
1,264101,11600
1,264102,11600
1,264103,11600
1,264104,11600
.117,270100,26001
.038,270100,26702
.201,270100,26703
.42,270100,26801
.225,270100,26704
.957,270200,26701
.043,270200,26001
.141,270300,26004
.699,270300,21600
.109,270300,26002
.051,270300,26003
1,270400,26002
.25,270500,21502
.424,270500,21600
.191,270500,26002
.135,270500,21400
.681,270600,26902
.32,270600,26901
.105,270700,27101
.063,270700,26801
.744,270700,26901
.087,270700,26601
1,270800,21400
.284,270900,21400
.716,270900,21501
1,271001,21501
1,271002,21501
1,271100,21501
1,271201,21501
1,271202,21501
1,271203,21501
1,271301,21501
1,271302,21501
1,271303,21501
1,271401,21501
1,271402,21501
1,271403,21501
1,271404,21501
1,271405,21501
1,271406,21501
1,271501,21501
1,271502,21501
1,271601,21501
1,271602,21501
1,271700,21501
.131,271800,21202
.556,271800,21201
.314,271800,27101
.156,271900,21202
.25,271900,21301
.299,271900,27101
.296,271900,27102
.815,272000,21301
.186,272000,21302
.449,272100,21302
.201,272100,21301
.35,272100,21701
.445,272200,22800
.175,272200,22900
.38,272200,21701
1,272300,21701
.275,272400,21302
.145,272400,21701
.581,272400,21702
.309,272500,27302
.097,272500,21301
.16,272500,27102
.435,272500,27202
1,280100,5202
.378,280200,4702
.341,280200,5202
.281,280200,5201
.777,280300,5100
.223,280300,5000
.198,280400,5201
.802,280400,5000
.315,280500,5202
.684,280500,4702
1,280600,4800
.136,280700,4702
.447,280700,4701
.103,280700,3002
.315,280700,4800
.194,280800,10502
.146,280800,5000
.19,280800,3001
.126,280800,4702
.343,280800,4701
.814,280900,10502
.186,280900,5000
.661,281000,10501
.339,281000,5000
1,281100,10400
.255,281200,10400
.439,281200,3003
.305,281200,2800
1,281300,3003
1,281400,3003
1,281500,3003
.082,281600,4800
.459,281600,3203
.2,281600,3001
.26,281600,3002
.357,281700,3003
.212,281700,2900
.294,281700,3102
.137,281700,3203
.772,281800,2800
.109,281800,2900
.119,281800,2700
1,281900,2900
.708,282000,3101
.293,282000,3202
1,282100,2700
1,282200,2700
1,282300,2700
.309,290100,29505
.13,290100,26104
.166,290100,29506
.133,290100,26102
.261,290100,29503
1,290200,29503
.366,290300,26107
.071,290300,23600
.119,290300,26105
.215,290300,26101
.1,290300,25000
.131,290300,26103
.119,290400,24702
.332,290400,26101
.549,290400,25000
.856,290500,29601
.144,290500,24702
1,290600,29601
.065,290700,26103
.371,290700,29502
.262,290700,26102
.303,290700,29504
.12,290800,29503
.88,290800,29502
1,290901,29502
1,290902,29502
1,291001,29502
1,291002,29502
1,291003,29502
1,291004,29502
1,291100,29502
.102,291200,29502
.316,291200,29700
.298,291200,29504
.286,291200,29902
.268,291300,24500
.212,291300,29700
.52,291300,29602
.276,291400,24701
.095,291400,29601
.46,291400,24500
.169,291400,24600
1,291500,24701
1,291601,24701
1,291602,24701
1,291701,24701
1,291702,24701
1,291703,24701
1,291704,24701
1,291705,24701
1,291706,24701
1,291707,24701
1,291708,24701
1,291801,24701
1,291802,24701
1,291803,24701
1,291900,24701
.415,292000,25701
.587,292000,24600
.419,292100,25800
.581,292100,25701
.67,292200,25702
.061,292200,24500
.27,292200,25701
.259,292300,29700
.662,292300,25102
.08,292300,25101
1,292400,29700
1,292500,29700
.047,292600,29902
.13,292600,30300
.822,292600,29800
1,292700,29901
.145,300100,34502
.856,300100,34503
.171,300200,34202
.177,300200,34201
.652,300200,34203
.017,300300,34309
.092,300300,34204
.021,300300,26402
.091,300300,26408
.03,300300,26407
.075,300300,26409
.089,300300,34307
.095,300300,34305
.094,300300,34304
.027,300300,34402
.009,300300,34306
.071,300300,26411
.01,300300,26401
.172,300300,34308
.093,300300,26406
.015,300300,26405
1,300400,34308
.091,300500,34401
.89,300500,34402
.019,300500,34309
