czone,cty_fips,cty_pop,cty_labf
32100,48199,41320,18216
32000,48201,2818199,14866
33400,48203,57483,25028
31007,48205,3634,1695
32503,48207,6820,2866
31201,48209,65614,33216
30904,48211,3720,1739
33300,48213,58543,24492
31600,48215,383545,14274
32801,48217,27146,11517
30802,48219,24199,10674
33000,48221,28981,13037
33200,48223,28833,13445
32201,48225,21375,8269
32401,48227,32343,13234
30601,48229,2915,1227
33200,48231,64343,30899
30904,48233,25689,10610
32301,48235,1629,742
32602,48237,6981,2912
31101,48239,13039,5410
32100,48241,31102,11864
31404,48243,1946,865
32100,48245,239397,10788
31503,48247,5109,2029
31700,48249,37679,14819
33000,48251,97165,48006
32501,48253,16490,7127
31302,48255,12455,4948
33100,48257,52220,24425
31301,48259,14589,7277
31700,48261,460,225
32403,48263,1010,445
31303,48265,36304,15231
32303,48267,4122,1950
32503,48269,354,196
32305,48271,3119,1037
31700,48273,30274,13323
32503,48275,4837,1929
33200,48277,43949,19479
30902,48279,15072,6001
32900,48281,13521,6408
31502,48283,5254,2172
31101,48285,18690,8317
31201,48287,12854,5822
32802,48289,12665,4988
32000,48291,52726,22273
32802,48293,20946,8720
31005,48295,3143,1385
31301,48297,9556,4007
31202,48299,11631,3764
31402,48301,107,59
30802,48303,222636,11194
30802,48305,6758,2748
32302,48307,8778,3351
32801,48309,189123,88432
31301,48311,817,399
32201,48313,10931,3618
33400,48315,9984,3954
31401,48317,4956,1931
31304,48319,3423,1453
31900,48321,36928,16030
32306,48323,36378,13080
31301,48325,27312,11630
32303,48327,2252,899
31401,48329,106611,52054
31201,48331,22946,9274
32701,48333,4531,1828
32403,48335,8016,3118
33000,48337,17274,7229
32000,48339,182201,88442
31007,48341,17865,8312
33500,48343,13200,5434
30907,48345,1532,647
32202,48347,54753,25183
32802,48349,39926,17589
32100,48351,13569,4863
32402,48353,16594,7298
31700,48355,291145,13551
31005,48357,9128,4294
30903,48359,2278,962
32100,48361,80509,35723
33000,48363,25055,10828
33400,48365,22035,9155
33000,48367,64785,31529
30901,48369,9863,4161
31403,48371,14675,6145
32100,48373,30687,11347
30903,48375,97874,45867
31404,48377,6637,2260
33200,48379,6715,2838
30903,48381,89673,48275
32401,48383,4514,1862
32304,48385,2412,898
33200,48387,14317,5717
31402,48389,15852,6122
31700,48391,7976,3411
30904,48393,1025,524
31800,48395,15511,6051
33100,48397,25604,13764
32302,48399,11294,5022
33400,48401,43735,18607
32202,48403,9586,3328
32202,48405,7999,2987
32000,48407,16372,6156
31700,48409,58749,24691
32701,48411,5401,2101
32301,48413,2990,1184
32403,48415,18634,7744
32501,48417,3316,1467
32202,48419,22034,8469
31006,48421,2858,1346
33300,48423,151309,72164
33000,48425,5360,2326
31600,48427,40518,13893
32501,48429,9010,3672
32301,48431,1438,622
32503,48433,2013,834
32304,48435,4135,1957
30908,48437,8133,3581
33000,48439,1170103,64122
32501,48441,119655,59024
32305,48443,1410,642
30801,48445,13218,5472
32602,48447,1880,817
33500,48449,24009,10706
32301,48451,98458,49137
31201,48453,576407,32660
32201,48455,11445,4315
32100,48457,16646,6245
33400,48459,31370,13795
31401,48461,4447,1875
32304,48463,23340,9663
32305,48465,38721,16243
33300,48467,37944,15944
31101,48469,74361,34790
32201,48471,50917,19627
32000,48473,23390,10723
31402,48475,13115,5310
32000,48477,26154,12426
31503,48479,133239,51870
31900,48481,39955,18252
30905,48483,5879,2634
32601,48485,122378,61577
32604,48487,15121,6894
31600,48489,17705,6543
31201,48491,139551,74930
31301,48493,22650,10134
31402,48495,8626,3407
33000,48497,34679,15426
33300,48499,29380,12189
30801,48501,8786,3737
32602,48503,18126,8349
31503,48505,9279,2994
31501,48507,12162,4522
35901,49001,4765,1760
36200,49003,36485,15502
36200,49005,70183,32215
35902,49007,20228,8288
36404,49009,690,307
36100,49011,187941,85700
36402,49013,12645,4863
35902,49015,10332,4018
35904,49017,3980,1667
35903,49019,6620,3010
35901,49021,20789,9020
36000,49023,5817,2522
35401,49025,5169,2106
36000,49027,11333,4437
36100,49029,5528,2358
35904,49031,1277,463
36404,49033,1725,664
36100,49035,725956,35111
35402,49037,12621,4517
35902,49039,16259,5945
35904,49041,15431,6001
36100,49043,15518,8098
36100,49045,26601,12345
36402,49047,22211,8426
36000,49049,263590,11112
36100,49051,10089,4620
35901,49053,48560,18124
35905,49055,2177,856
36100,49057,158330,74427
20200,50001,32953,17649
20902,50003,35845,18390
20301,50005,27846,13984
20200,50007,131761,76107
20301,50009,6405,2868
20200,50011,39980,20294
20200,50013,5318,2748
20200,50015,19735,10600
20302,50017,26149,13840
20301,50019,24053,11641
20200,50021,62142,32694
20302,50023,54928,29234
20700,50025,41588,22504
20302,50027,54055,28866
19903,51001,31703,14936
17600,51003,68040,35451
17300,51005,13176,6491
2400,51007,8787,4361
