"state","puma12","puma2k","stab","PUMAname","PUMA2kName","hus10","afact","AFACT2"
"FIPS state","puma12","puma2k","State Postal Code","PUMA12 Name","PUMA 2K Name","Total HUs, 2010 census","puma12 to puma2k alloc factor","puma2k to puma12 alloc factor"
"06","03729","05412","CA","Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles)","0605412",44,0,0.001 
"06","03730","05411","CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)","0605411",86,0.001,0.001 
"06","03730","05412","CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)","0605412",77692,0.999,0.999 
"06","03731","05410","CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities","0605410",230,0.004,0.003 
"06","03731","05411","CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities","0605411",17,0,0 
"06","03731","05413","CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities","0605413",23910,0.367,0.217 
"06","03731","06125","CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities","0606125",40972,0.629,0.331 
"06","03732","05413","CA","Los Angeles County (Central)--LA City (East Central/Hollywood)","0605413",84023,1,0.762 
"06","03733","05414","CA","Los Angeles County (Central)--LA City (Central/Koreatown)","0605414",47114,1,1 
"06","03734","05415","CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)","0605415",75348,0.973,0.995 
"06","03734","05416","CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)","0605416",2049,0.026,0.028 
"06","03734","05417","CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)","0605417",27,0,0 
"06","03734","05418","CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)","0605418",2,0,0 
"06","03735","05416","CA","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)","0605416",63153,1,0.859 
"06","03736","05416","CA","Los Angeles County (Central)--Alhambra & South Pasadena Cities","0605416",2211,0.05,0.03 
"06","03736","06103","CA","Los Angeles County (Central)--Alhambra & South Pasadena Cities","0606103",42031,0.95,1 
"06","03737","05100","CA","Los Angeles County (Central)--Monterey Park & Rosemead Cities","0605100",1,0,0 
"06","03737","05300","CA","Los Angeles County (Central)--Monterey Park & Rosemead Cities","0605300",143,0.004,0.005 
"06","03737","06103","CA","Los Angeles County (Central)--Monterey Park & Rosemead Cities","0606103",10,0,0 
"06","03737","06104","CA","Los Angeles County (Central)--Monterey Park & Rosemead Cities","0606104",1378,0.035,0.022 
"06","03737","06112","CA","Los Angeles County (Central)--Monterey Park & Rosemead Cities","0606112",38262,0.962,1 
"06","03738","05100","CA","Los Angeles County (Central)--El Monte & South El Monte Cities","0605100",28506,0.864,0.98 
"06","03738","06104","CA","Los Angeles County (Central)--El Monte & South El Monte Cities","0606104",4,0,0 
"06","03738","06109","CA","Los Angeles County (Central)--El Monte & South El Monte Cities","0606109",4497,0.136,0.153 
"06","03739","06108","CA","Los Angeles County (Southeast)--Whittier City & Hacienda Heights","0606108",24,0,0.001 
"06","03739","06110","CA","Los Angeles County (Southeast)--Whittier City & Hacienda Heights","0606110",53992,1,0.985 
"06","03740","05300","CA","Los Angeles County (Central)--Pico Rivera & Montebello Cities","0605300",177,0.005,0.006 
"06","03740","06111","CA","Los Angeles County (Central)--Pico Rivera & Montebello Cities","0606111",37593,0.995,1 
"06","03741","05300","CA","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities","0605300",3,0,0 
"06","03741","06113","CA","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities","0606113",35154,0.985,1 
"06","03741","06114","CA","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities","0606114",486,0.014,0.014 
"06","03741","06115","CA","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities","0606115",51,0.001,0.001 
"06","03742","06114","CA","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park","0606114",32289,1,0.958 
"06","03743","05300","CA","Los Angeles County (Central)--East Los Angeles","0605300",31370,0.999,0.99 
"06","03743","06111","CA","Los Angeles County (Central)--East Los Angeles","0606111",17,0.001,0 
"06","03744","05415","CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights)","0605415",356,0.006,0.005 
"06","03744","05416","CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights)","0605416",1544,0.025,0.021 
"06","03744","05417","CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights)","0605417",58699,0.969,1 
"06","03745","05422","CA","Los Angeles County (Central)--LA City (Southeast/East Vernon)","0605422",28207,1,0.959 
"06","03746","05418","CA","Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park)","0605418",32798,0.99,1 
"06","03746","05422","CA","Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park)","0605422",320,0.01,0.011 
"06","03747","05419","CA","Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)","0605419",61077,1,1 
"06","03748","05420","CA","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities","0605420",53893,0.627,0.903 
"06","03748","05500","CA","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities","0605500",101,0.001,0.003 
"06","03748","06125","CA","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities","0606125",31987,0.372,0.258 
"06","03749","05500","CA","Los Angeles County (Central)--Inglewood City","0605500",38143,0.966,0.992 
"06","03749","06124","CA","Los Angeles County (Central)--Inglewood City","0606124",1341,0.034,0.035 
"06","03750","05421","CA","Los Angeles County (South Central)--LA City (South Central/Westmont)","0605421",50736,0.961,0.975 
"06","03750","05422","CA","Los Angeles County (South Central)--LA City (South Central/Westmont)","0605422",881,0.017,0.03 
"06","03750","05423","CA","Los Angeles County (South Central)--LA City (South Central/Westmont)","0605423",1163,0.022,0.031 
"06","03751","05421","CA","Los Angeles County (South Central)--LA City (South Central/Watts)","0605421",1316,0.035,0.025 
"06","03751","05423","CA","Los Angeles County (South Central)--LA City (South Central/Watts)","0605423",36693,0.965,0.969 
"06","03752","06114","CA","Los Angeles County (South)--South Gate & Lynwood Cities","0606114",915,0.022,0.027 
"06","03752","06115","CA","Los Angeles County (South)--South Gate & Lynwood Cities","0606115",40076,0.976,0.999 
"06","03752","06119","CA","Los Angeles County (South)--South Gate & Lynwood Cities","0606119",51,0.001,0.001 
"06","03753","05900","CA","Los Angeles County (South)--Downey City","0605900",35172,1,0.988 
"06","03753","06113","CA","Los Angeles County (South)--Downey City","0606113",14,0,0 
"06","03754","06110","CA","Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities","0606110",824,0.02,0.015 
"06","03754","06117","CA","Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities","0606117",39429,0.98,0.998 
"06","03755","05900","CA","Los Angeles County (Southeast)--Norwalk City","0605900",415,0.013,0.012 
"06","03755","06000","CA","Los Angeles County (Southeast)--Norwalk City","0606000",28083,0.857,1 
"06","03755","06116","CA","Los Angeles County (Southeast)--Norwalk City","0606116",4063,0.124,0.103 
"06","03755","06117","CA","Los Angeles County (Southeast)--Norwalk City","0606117",73,0.002,0.002 
"06","03755","06118","CA","Los Angeles County (Southeast)--Norwalk City","0606118",144,0.004,0.003 
"06","03756","06115","CA","Los Angeles County (Southeast)--Bellflower & Paramount Cities","0606115",7,0,0 
"06","03756","06116","CA","Los Angeles County (Southeast)--Bellflower & Paramount Cities","0606116",35397,1,0.895 
"06","03756","06118","CA","Los Angeles County (Southeast)--Bellflower & Paramount Cities","0606118",1,0,0 
"06","03757","06119","CA","Los Angeles County (South Central)--Compton City & West Rancho Dominguez","0606119",40290,1,0.999 
"06","03758","05424","CA","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens","0605424",3513,0.068,0.054 
"06","03758","05600","CA","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens","0605600",42,0.001,0.001 
"06","03758","06123","CA","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens","0606123",48411,0.931,1 
"06","03758","06124","CA","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens","0606124",14,0,0 
"06","03759","05500","CA","Los Angeles County (South Central)--Hawthorne City","0605500",191,0.005,0.005 
"06","03759","06124","CA","Los Angeles County (South Central)--Hawthorne City","0606124",37308,0.995,0.965 
"06","03760","06122","CA","Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities","0606122",63110,1,1 
"06","03761","05424","CA","Los Angeles County (South Central)--Torrance City","0605424",29,0.001,0 
"06","03761","05600","CA","Los Angeles County (South Central)--Torrance City","0605600",49641,0.999,0.85 
"06","03762","06120","CA","Los Angeles County (South Central)--Carson City","0606120",33463,1,0.999 
"06","03763","05701","CA","Los Angeles County (South Central)--Long Beach City (North)","0605701",45984,0.994,1 
"06","03763","06116","CA","Los Angeles County (South Central)--Long Beach City (North)","0606116",1,0,0 
"06","03763","06118","CA","Los Angeles County (South Central)--Long Beach City (North)","0606118",278,0.006,0.005 
